law_id,name
XIIIP-2692,"Seimo nutarimas „Dėl Ilgalaikio darbo išmokų fondo 2017 metų ataskaitų rinkinio patvirtinimo"""
XIIIP-3936,"Seimo nutarimas „Dėl Ilgalaikio darbo išmokų fondo 2018 metų ataskaitų rinkinio patvirtinimo"""
XIIIP-3464,"Seimo nutarimas „Dėl Ilgalaikio tvaraus viešojo sektoriaus darbuotojų darbo užmokesčio finansavimo iki 2025 metų strategijos patvirtinimo"""
XII-724,"Seimo nutarimas „Dėl Ilgalaikių valstybinių saugumo stiprinimo programų rengimo plano patvirtinimo"""
XIIIP-4295,"Seimo nutarimas „Dėl kai kurių Lietuvos Respublikos Seimo nutarimų pripažinimo netekusiais galios"""
XIIIP-1452,"Seimo nutarimas „Dėl Kuršių nerijos nacionalinio parko tvarkymo plano"" atitikties Konstitucijai"
XIII-1495,"Seimo nutarimas „Dėl laikinosios tyrimo komisijos dėl galimos neteisėtos įtakos ir (ar) poveikio Lietuvos politikams, valstybės tarnautojams ir politiniams procesams Lietuvoje parlamentinio tyrimo atlikimo sudarymo“"
XIIIP-1174,"Seimo nutarimas „Dėl Lietuvos Respublikos 2016 metų nacionalinio finansinių ataskaitų rinkinio patvirtinimo"""
XIIIP-1176,"Seimo nutarimas „Dėl Lietuvos Respublikos 2016 metų Privalomojo sveikatos draudimo fondo metinių konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-1173,"Seimo nutarimas „Dėl Lietuvos Respublikos 2016 metų valstybės konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-1178,"Seimo nutarimas „Dėl Lietuvos Respublikos 2016 metų valstybinio socialinio draudimo fondo konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-2684,"Seimo nutarimas „Dėl Lietuvos Respublikos 2017 metų nacionalinio finansinių ataskaitų rinkinio patvirtinimo"""
XIIIP-2687,"Seimo nutarimas „Dėl Lietuvos Respublikos 2017 metų Privalomojo sveikatos draudimo fondo metinių konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-2683,"Seimo nutarimas „Dėl Lietuvos Respublikos 2017 metų valstybės konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-3938,"Seimo nutarimas „Dėl Lietuvos Respublikos 2018 metų nacionalinio finansinių ataskaitų rinkinio patvirtinimo"""
XIIIP-3933,"Seimo nutarimas „Dėl Lietuvos Respublikos 2018 metų Privalomojo sveikatos draudimo fondo metinių konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-3937,"Seimo nutarimas „Dėl Lietuvos Respublikos 2018 metų valstybės konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XII-2232,"Seimo nutarimas „Dėl Lietuvos Respublikos karinių vienetų dalyvavimo tarptautinėse operacijose"""
XIIIP-53(2),"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo I (rudens) sesijos darbų programos"""
XIIIP-396(2),"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo II (pavasario) sesijos darbų programos"""
XIIIP-1088,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo III (rudens) sesijos darbų programos"""
XIIIP-1758,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo IV (pavasario) sesijos darbų programos"""
XIIIP-2656,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos atlikto parlamentinio tyrimo dėl Lietuvos nacionalinio radijo ir televizijos valdymo, finansinės ir ūkinės veiklos išvados"""
XIIIP-1170,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos dėl asmenų, verslo subjektų ir kitų interesų grupių neteisėto poveikio valstybės institucijoms priimant sprendimus ir neteisėtos įtakos politiniams procesams sudarymo"""
XIIIP-1727,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos sudarymo ir pavedimo jai atlikti parlamentinį tyrimą dėl nerimą keliančios padėties Lietuvos žemės ūkio sektoriuje"""
XIIIP-1165,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Neįgaliųjų teisių komisijos nuostatų patvirtinimo"""
XIIIP-2482,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo V (rudens) sesijos darbų programos"""
XIIIP-3267,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo VI (pavasario) sesijos darbų programos"""
XIIIP-3824,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo VII (rudens) sesijos darbų programos"""
XIIIP-4589,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo VIII (pavasario) sesijos darbų programos"""
X-1511,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo, Seimo kanceliarijos ir Seimui atskaitingų institucijų, Respublikos Prezidento institucijos ir Respublikos Prezidentui atskaitingų institucijų, Nacionalinės teismų administracijos, teismų, prokuratūros, savivaldybių institucijų ir įstaigų sąrašo pagal grupes, į kurias atsižvelgiant nustatomos valstybės tarnautojų suvienodintų pareigybių kategorijos, patvirtinimo"""
XIIIP-4277,"Seimo nutarimas „Dėl Lietuvos Respublikos teritorijos bendrojo plano valstybės teritorijos erdvinio vystymo krypčių ir teritorijos naudojimo funkcinių prioritetų patvirtinimo"""
XIIIP-4173,Seimo nutarimas „Dėl Lietuvos Respublikos valstybės kontrolės finansinio audito“
XIIIP-174,"Seimo nutarimas „Dėl Lietuvos Respublikos Vyriausybės programos"""
XIIIP-582,"Seimo nutarimas „Dėl Lietuvos valstybės istorinės atminties komisijos"" projekto atitikties Konstitucijai"
XI-2133,"Seimo nutarimas „Dėl Nacionalinės energetinės nepriklausomybės strategijos patvirtinimo"""
IX-907,"Seimo nutarimas „Dėl Nacionalinio saugumo strategijos patvirtinimo"""
XIV-8,"Seimo nutarimas „Dėl NATO greitojo reagavimo pajėgoms, Jungtinėms ekspedicinėms pajėgoms priskirtų Lietuvos Respublikos karinių vienetų ir NATO ir Europos Sąjungos karinėse vadavietėse tarnybą atliekančių Lietuvos karių ir civilių krašto apsaugos sistemos tarnautojų dalyvavimo tarptautinėse operacijose"""
XIIIP-844,"Seimo nutarimas „Dėl Neformaliojo vaikų švietimo krepšelio tęstinumo ir plėtros"""
XIIIP-1184,Seimo nutarimas „Dėl paramos nuo liūčių nukentėjusiems ir milijoninius nuostolius patyrusiems ūkininkams plano patvirtinimo atitikties Konstitucijai
XIII-1979,Seimo nutarimas „Dėl referendumo dėl Lietuvos Respublikos Konstitucijos 55 straipsnio pakeitimo paskelbimo“
XIIIP-1175,"Seimo nutarimas „Dėl Rezervinio (stabilizavimo) fondo 2016 metų metinių ataskaitų rinkinio patvirtinimo"""
XIIIP-2685,"Seimo nutarimas „Dėl Rezervinio (stabilizavimo) fondo 2017 metų metinių ataskaitų rinkinio patvirtinimo"""
XIIIP-3939,"Seimo nutarimas „Dėl Rezervinio (stabilizavimo) fondo 2018 metų metinių ataskaitų rinkinio patvirtinimo"""
IX-912,"Seimo nutarimas „Dėl Rezervinio (stabilizavimo) fondo nuostatų patvirtinimo"""
XIIIP-4218,"Seimo nutarimas „Dėl valstybės garantijų suteikimo Šiaurės investicijų bankui"""
XIIIP-788,"Seimo nutarimas „Dėl Valstybės įmonės Ignalinos atominės elektrinės eksploatavimo nutraukimo fondo 2016 m. metinių ataskaitų rinkinio patvirtinimo"""
XIIIP-2012,"Seimo nutarimas „Dėl Valstybės įmonės Ignalinos atominės elektrinės eksploatavimo nutraukimo fondo 2017 m. metinių ataskaitų rinkinio patvirtinimo"""
XIIIP-3429,"Seimo nutarimas „Dėl Valstybės įmonės Ignalinos atominės elektrinės eksploatavimo nutraukimo fondo 2018 m. metinių ataskaitų rinkinio patvirtinimo"""
XIIIP-2016,"Seimo nutarimas „Dėl valstybės pripažinimo suteikimo Senovės baltų religinei bendrijai „Romuva"""
XIIIP-2688,"Seimo nutarimas „Dėl Valstybinio socialinio draudimo fondo 2017 metų konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-3934,"Seimo nutarimas „Dėl Valstybinio socialinio draudimo fondo 2018 metų konsoliduotųjų ataskaitų rinkinio patvirtinimo"""
XIIIP-1779,"Seimo nutarimas „Dėl vidutinio laikotarpio tikslo nustatymo"""
XIIIP-2476,"Seimo nutarimas „Sveikatos tausojimo ir stiprinimo politikos gairių patvirtinimo"""
XIII-1467,"Seimo nutarimas ""Dėl istorinio Tautos namų sklypo ir nacionalinės koncertų salės – Tautos namų“"
XIIP-786,"Seimo nutarimas ""Dėl Nacionalinės šeimos tarybos nuostatų patvirtinimo"""
XIII-1026,"Seimo nutarimas ""Dėl pritarimo Lietuvos edukologijos universiteto ir Aleksandro Stulginskio universiteto reorganizavimui prijungimo prie Vytauto Didžiojo universiteto būdu“"
XIIIP-3860,"Seimo nutarimas ""Dėl Valstybinės kultūros paveldo komisijos narių"""
XIIIP-4874,Seimo nutarimas “Dėl Nacionalinės šeimos tarybos sudėties“
XIIIP-4760,Seimo nutarimas „Dėl 1990–1991 metų Nepriklausomybės gynėjo vardo“
XIIIP-1177(2),Seimo nutarimas „Dėl 2016 metų Garantinio fondo metinių ataskaitų rinkinio patvirtinimo“
XIIIP-2691,Seimo nutarimas „Dėl 2017 metų Garantinio fondo 2017 metų ataskaitų rinkinio patvirtinimo“
XIIIP-323,Seimo nutarimas „Dėl 2017 metų paskelbimo arkivyskupo Teofiliaus Matulionio metais“
XIIIP-181(2),Seimo nutarimas „Dėl 2017 metų paskelbimo Kazio Bradūno metais“
XIIP-4797,"Seimo nutarimas „Dėl 2017 metų, 2018 metų ir 2019 metų valstybės biudžeto ir savivaldybių biudžetų konsoliduotos visumos planuojamų rodiklių“"
XIIIP-1147(2),Seimo nutarimas „Dėl 2018 metų paskelbimo Adolfo Ramanausko- Vanago metais“
XIIIP-1263(3),Seimo nutarimas „Dėl 2018 metų paskelbimo Lietuvos katalikių moterų sąjungos metais“
XIIIP-1148(2),Seimo nutarimas „Dėl 2018 metų paskelbimo Sąjūdžio metais“
XIIIP-1409(2),Seimo nutarimas „Dėl 2018 metų paskelbimo Simono Daukanto metais“
XIIIP-1189(2),Seimo nutarimas „Dėl 2018 metų paskelbimo Tėvo Stanislovo metais“
XIIIP-371(2),"Seimo nutarimas „Dėl 2018 metų paskelbimo Trakų Dievo Motinos, Lietuvos Globėjos, paveikslo karūnavimo 300 metų jubiliejaus minėjimo metais“"
XIIIP-1241,"Seimo nutarimas „Dėl 2018 metų, 2019 metų ir 2020 metų valstybės biudžeto ir savivaldybių biudžetų konsoliduotos visumos planuojamų rodiklių“"
XIIIP-2529,Seimo nutarimas „Dėl 2019 metų Lietuvos Respublikos savivaldybių tarybų rinkimų“
XIIIP-521(3),Seimo nutarimas „Dėl 2019 metų paskelbimo Jėzuitų misijos Lietuvoje metais“
XIIIP-2360(2),Seimo nutarimas „Dėl 2019 metų paskelbimo Jono Žemaičio- Vytauto metais“
XIIIP-2022,Seimo nutarimas „Dėl 2019 metų paskelbimo Juozo Naujalio metais“
XIIIP-2285(2),Seimo nutarimas „Dėl 2019 metų paskelbimo Laikinosios sostinės metais“
XIIIP-1894(2),Seimo nutarimas „Dėl 2019 metų paskelbimo Lietuvos Nepriklausomybės kovų atminimo metais“
XIIIP-1043(2),Seimo nutarimas „Dėl 2019 metų paskelbimo Lietuvos šaulių metais“
XIIIP-681(2),"Seimo nutarimas „Dėl 2019 metų paskelbimo Lietuvos Tarybos Pirmininko, Lietuvos Valstybės Prezidento Antano Smetonos metais“"
XIIIP-1661,Seimo nutarimas „Dėl 2019 metų paskelbimo Pasaulio lietuvių metais“
XIIIP-1895(2),Seimo nutarimas „Dėl 2019 metų paskelbimo Vietovardžių metais“
XIIIP-762(2),Seimo nutarimas „Dėl 2019 metų paskelbimo Žemaitijos metais“
XIIIP-2718(2),"Seimo nutarimas „Dėl 2019 metų, 2020 metų ir 2021 metų valstybės biudžeto ir savivaldybių biudžetų konsoliduotos visumos planuojamų rodiklių“"
XIIIP-3534(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Ateitininkų metais“
XIIIP-3793(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Čiunės Sugiharos metais“
XIIIP-3426(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Eugenijos Šimkūnaitės metais“
XIIIP-1893(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Lietuvos Steigiamojo Seimo šimtmečio metais“
XIIIP-3307(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Mokyklų bendruomenių metais“
XIIIP-1850(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Steigiamojo Seimo metais“
XIIIP-4158(2),Seimo nutarimas „Dėl 2020 metų paskelbimo Šventojo Jono Pauliaus II metais“
XIIIP-3320,Seimo nutarimas „Dėl 2020 metų paskelbimo Tautodailės metais“
XIIIP-4261(2),Seimo nutarimas „Dėl 2020 metų paskelbimo vaikų emocinės gerovės metais“
XIIIP-1289(3),Seimo nutarimas „Dėl 2020 metų paskelbimo Vilniaus Gaono ir Lietuvos žydų istorijos metais“
XIIIP-4765(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Abiejų Tautų Respublikos Gegužės 3-iosios Konstitucijos ir Tarpusavio įžado metais“
XIIIP-3427(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Archyvų metais“
XIIIP-4441(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Jono Karolio Chodkevičiaus metais“
XIIIP-4994(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Juozo Lukšos- Daumanto metais“
XIIIP-4945(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Juozo Zikaro metais“
XIIIP-3912(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Jurgio Ambroziejaus Pabrėžos metais“
XIIIP-4453(3),Seimo nutarimas „Dėl 2021 metų paskelbimo kardinolo Vincento Sladkevičiaus metais“
XIIIP-3503(3),Seimo nutarimas „Dėl 2021 metų paskelbimo Lietuvos totorių istorijos ir kultūros metais“
XIIIP-3386,Seimo nutarimas „Dėl 2021 metų paskelbimo Marijos Gimbutienės metais“
XIIIP-4680(2),Seimo nutarimas „Dėl 2021 metų paskelbimo Vytauto Mačernio metais“
XIIIP-5002(2),Seimo nutarimas „Dėl Ado Jakubausko paskyrimo Lietuvos gyventojų genocido ir rezistencijos tyrimo centro generaliniu direktoriumi“
XIIIP-4381(2),Seimo nutarimas „Dėl Algio Norkūno paskyrimo Lietuvos Respublikos Konstitucinio Teismo teisėju“
XIIIP-1158(2),Seimo nutarimas „Dėl Algirdo Taminsko skyrimo Lietuvos Aukščiausiojo Teismo teisėju“
XIIIP-1456(2),Seimo nutarimas „Dėl Antano Šenavičiaus skyrimo Vyriausiosios tarnybinės etikos komisijos nariu“
XIIIP-1157(2),Seimo nutarimas „Dėl Artūro Ridiko skyrimo Lietuvos Aukščiausiojo Teismo teisėju“
XIIIP-3059(2),Seimo nutarimas „Dėl Arvydo Daugėlos skyrimo Lietuvos Aukščiausiojo Teismo teisėju“
XIIIP-1383(2),Seimo nutarimas „Dėl atmintinų metų nustatymo tvarkos“
XIIIP-1282(2),Seimo nutarimas „Dėl Aurelijaus Gutausko skyrimo Lietuvos Aukščiausiojo Teismo Baudžiamųjų bylų skyriaus pirmininku“
XIIIP-742(2),Seimo nutarimas „Dėl bendrojo ugdymo mokyklos kaitos gairių patvirtinimo“
XIIIP-231(2),Seimo nutarimas „Dėl Daivos Petrylaitės paskyrimo Lietuvos Respublikos Konstitucinio Teismo teisėja“
XIIIP-3057(2),Seimo nutarimas „Dėl Daivos Pranytės-Zalieckienės skyrimo Lietuvos Aukščiausiojo Teismo teisėja“
XIIIP-1154(2),Seimo nutarimas „Dėl Danguolės Bublienės skyrimo Lietuvos Aukščiausiojo Teismo teisėja“
XIIIP-2023(2),Seimo nutarimas „Dėl Dariaus Biekšos atleidimo iš Valstybinės kainų ir energetikos kontrolės komisijos nario pareigų“
XIIIP-2025,"Seimo nutarimas „Dėl demografijos, migracijos ir integracijos politikos 2018-2030 m. strategijos patvirtinimo“"
XIII-297,"Seimo nutarimas „Dėl demografijos, migracijos ir integracijos procesų valdymo“"
XIII-728,Seimo nutarimas „Dėl Edmundo Sakalausko skyrimo Vyriausiosios tarnybinės etikos komisijos nariu“
XIII-1204,Seimo nutarimas „Dėl Edmundo Sakalausko skyrimo Vyriausiosios tarnybinės etikos komisijos pirmininku“
XIIIP-3774(2),Seimo nutarimas „Dėl Egidijaus Laužiko atleidimo iš Lietuvos Aukščiausiojo Teismo teisėjo pareigų“
IX-2532,Seimo nutarimas „Dėl Etninės kultūros globos tarybos nuostatų patvirtinimo“
XIII-887,Seimo nutarimas „Dėl Etninės kultūros globos tarybos sudėties“
XIIIP-1398(2),Seimo nutarimas „Dėl Evelinos Karalevičienės paskyrimo Valstybinės kultūros paveldo komisijos pirmininke“
XIIIP-4101(2),Seimo nutarimas „Dėl Evelinos Matulaitienės skyrimo Vyriausiosios tarnybinės etikos komisijos nare“
 XIII-686,Seimo nutarimas „Dėl Gabrielės Juodkaitės-Granskienės skyrimo Lietuvos Aukščiausiojo Teismo teisėja“
XIIIP-3935,Seimo nutarimas „Dėl Garantinio fondo 2018 metų ataskaitų rinkinio patvirtinimo“
XIIIP-4379(2),Seimo nutarimas „Dėl Giedrės Lastauskienės paskyrimo Lietuvos Respublikos Konstitucinio Teismo teisėja“
XIIIP-232(2),Seimo nutarimas „Dėl Gintaro Godos paskyrimo Lietuvos Respublikos Konstitucinio Teismo teisėju“
XIIIP-3058(2),Seimo nutarimas „Dėl Godos Ambrasaitės-Balynienės skyrimo Lietuvos Aukščiausiojo Teismo teisėja“
XIIIP-4880(2),Seimo nutarimas „Dėl Gražinos Ramanauskaitės atleidimo iš žurnalistų etikos inspektoriaus pareigų“
XIIIP-4881,Seimo nutarimas „Dėl Gražinos Ramanauskaitės skyrimo žurnalistų etikos inspektore“
XIIIP-2692,Seimo nutarimas „Dėl Ilgalaikio darbo išmokų fondo 2017 metų ataskaitų rinkinio patvirtinimo“
XIIIP-3936,Seimo nutarimas „Dėl Ilgalaikio darbo išmokų fondo 2018 metų ataskaitų rinkinio patvirtinimo“
XIIIP-4375(2),Seimo nutarimas „Dėl Ingridos Danėlienės paskyrimo Lietuvos Respublikos Konstitucinio Teismo teisėja“
XIIIP-4780(2),Seimo nutarimas „Dėl Janinos Januškienės atleidimo iš Lietuvos Aukščiausiojo Teismo teisėjo pareigų“
XIIIP-238(2),Seimo nutarimas „Dėl Janinos Stripeikienės paskyrimo Lietuvos Respublikos Konstitucinio Teismo teisėja“
XIIIP-99(2),Seimo nutarimas „Dėl Jono Makausko skyrimo Valstybinės kainų ir energetikos kontrolės komisijos nariu“
XIIIP-4295,Seimo nutarimas „Dėl kai kurių Lietuvos Respublikos Seimo nutarimų pripažinimo netekusiais galios“
X-743,Seimo nutarimas „Dėl Krašto apsaugos sistemos plėtros programos patvirtinimo“
XIIIP-4769(2),"Seimo nutarimas „Dėl kreipimosi į Lietuvos Respublikos Konstitucinį Teismą su prašymu ištirti, ar Lietuvos Respublikos Prezidento 2019 m. gruodžio 16 d. dekreto Nr. 1K-164 „Dėl teikimo Lietuvos Respublikos Seimui atleisti Lietuvos Aukščiausiojo Teismo teisėją Sigitą Rudėnaitę iš šio teismo civilinių bylų skyriaus pirmininko pareigų ir skirti ją Lietuvos Aukščiausiojo Teismo pirmininke“1 straipsnis ir Lietuvos Respublikos Seimo 2020 m. balandžio 21 d. nutarimas Nr. XIII-2848 „Dėl Lietuvos Aukščiausiojo Teismo teisėjos Sigitos Rudėnaitės atleidimo iš šio teismo civilinių bylų skyriaus pirmininko pareigų“neprieštarauja Lietuvos Respublikos Konstitucijai ir Lietuvos Respublikos teismų įstatymui“"
XIIIP-3140,"Seimo nutarimas „Dėl kreipimosi į Lietuvos Respublikos Konstitucinį Teismą su prašymu ištirti, ar Lietuvos Respublikos Seimo statuto 145 straipsnio 2 ir 3 dalys neprieštarauja Lietuvos Respublikos Konstitucijos 1 straipsniui, 55 straipsnio pirmajai daliai, 59 straipsnio ketvirtajai daliai ir 128 straipsnio antrajai daliai“"
XIIIP-4342(2),"Seimo nutarimas „Dėl kreipimosi į Lietuvos Respublikos Konstitucinį Teismą su prašymu ištirti, ar Lietuvos Respublikos teismų įstatymo 47 straipsnio 2 dalis neprieštarauja Lietuvos Respublikos Konstitucijai“"
XIIIP-3352(2),Seimo nutarimas „Dėl kreipimosi į nacionaliniam saugumui užtikrinti svarbių objektų apsaugos koordinavimo komisiją dėl pakartotinės UAB Revolut Bank ir UAB Revolut Payments patikros“
XIIIP-4155(2),Seimo nutarimas „Dėl leidimo Lietuvos Respublikos akademinės etikos ir procedūrų kontrolieriaus tarnybai stoti į Europos mokslinių tyrimų sąžiningumo tarnybų tinklo (ENRIO) asociaciją“
XIIIP-4349(2),Seimo nutarimas „Dėl Lietuvos Aukščiausiojo Teismo teisėjos Sigitos Rudėnaitės atleidimo iš šio teismo Civilinių bylų skyriaus pirmininkės pareigų ir jos skyrimo Lietuvos Aukščiausiojo Teismo pirmininke“
XIIIP-4220(2),Seimo nutarimas „Dėl Lietuvos Aukščiausiojo Teismo teisėjų skaičiaus nustatymo“
XIIIP-1802(2),Seimo nutarimas „Dėl Lietuvos edukologijos universiteto ir Aleksandro Stulginskio universiteto reorganizavimo prijungimo prie Lietuvos Vytauto Didžiojo universiteto būdu ir Vytauto Didžiojo universiteto statuto patvirtinimo“
XIIIP-710(3),Seimo nutarimas „Dėl Lietuvos mokslo tarybos nuostatų patvirtinimo“
XIII-1398,Seimo nutarimas „Dėl Lietuvos mokslo tarybos pirmininko ir jo pavaduotojų patvirtinimo“
XI-1397,Seimo nutarimas „Dėl Lietuvos mokslų akademijos statuto patvirtinimo“
XII-189,Seimo nutarimas „Dėl Lietuvos radijo ir televizijos komisijos nuostatų patvirtinimo“
XIIIP-2487,"Seimo nutarimas „Dėl Lietuvos radijo ir televizijos komisijos pirmininko atleidimo iš pareigų"""
XIIIP-490(3),Seimo nutarimas „Dėl Lietuvos radijo ir televizijos komisijos pirmininko paskyrimo“
XIIIP-491(2),Seimo nutarimas „Dėl Lietuvos radijo ir televizijos komisijos pirmininko pavaduotojo paskyrimo“
I-2121,Seimo nutarimas „Dėl Lietuvos Respublikos laikinojo vidaus tarnybos įstatymo įsigaliojimo“pripažinimo netekusiu galios“
XIIIP-2530(2),Seimo nutarimas „Dėl Lietuvos Respublikos Prezidento rinkimų skyrimo“
XIIIP-4091,"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Biudžeto ir finansų komiteto atlikto parlamentinio tyrimo dėl vietinių ir regioninių veiksnių ir aplinkybių, lėmusių 2009 – 2010 metų krizės Lietuvoje reiškinius ir viešųjų finansų būklę, įskaitant viešojo sektoriaus skolos dydį ir šios skolos valdymo sąnaudas, išvados“"
XIII-560,Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Energetikos komisijos nuostatų patvirtinimo“
XIII-27,Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Energetikos komisijos sudarymo“
XIIIP-1297(2),"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo ir Pasaulio Lietuvių bendruomenės komisijos nuostatų patvirtinimo"""
XIIIP-1164(2),Seimo nutarimas „Dėl Lietuvos Respublikos Seimo kontrolierių įstaigos vadovo paskyrimo“
XIIIP-1170(2),"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos įgaliojimų suteikimo Lietuvos Respublikos Nacionalinio saugumo ir gynybos komitetui ir pavedimo atlikti parlamentinį tyrimą dėl asmenų, verslo subjektų ir kitų interesų grupių galimo neteisėto poveikio valstybės institucijoms priimant sprendimus ir galimos neteisėtos įtakos politiniams procesams“"
XIIIP-869(2),"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos įgaliojimų suteikimo Lietuvos Respublikos Seimo Antikorupcijos komisijai ir pavedimo atlikti parlamentinį tyrimą dėl žiniasklaidoje paskelbtos informacijos, kad Lietuvos Respublikos Seimo narys Artūras Skardžius galimai gavo asmeninės naudos darydamas poveikį Lietuvos Respublikos Seimo, Lietuvos Respublikos Vyriausybės ir kitų institucijų sprendimams“"
XIIIP-814(2),Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos įgaliojimų suteikimo Seimo Antikorupcijos komisijai ir pavedimo atlikti parlamentinį tyrimą“
XIIIP-1564(2),"Seimo nutarimas „Dėl Lietuvos Respublikos Seimo laikinosios tyrimo komisijos sudarymo ir pavedimo jai atlikti Lietuvos nacionalinio radijo ir televizijos valdymo, finansinės ir ūkinės veiklos parlamentinį tyrimą“"
XIIIP-3029(2),Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Laisvės kovų ir valstybės istorinės atminties komisijos nuostatų patvirtinimo“
XIIIP-753,Seimo nutarimas „Dėl Lietuvos Respublikos Seimo pareiškimo „Dėl Kanados ir Europos Sąjungos bei jos valstybių narių išsamaus ekonomikos ir prekybos susitarimo (IEPS)“
XIIIP-235(2),Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Priklausomybių prevencijos komisijos nuostatų patvirtinimo“
XIII-123,Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Savižudybių prevencijos komisijos nuostatų patvirtinimo“
XIIIP-2160(2),Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Sveikos gyvensenos komisijos nuostatų patvirtinimo“
XIIIP-582(4),Seimo nutarimas „Dėl Lietuvos Respublikos Seimo Valstybės istorinės atminties komisijos sudarymo“
